Round,ID,Authors,Institution,Type of Institution,Public/Private,Profit/Non-profit,Country
2,R2ACM393,Mingsheng Ying,University of Technology Sydney,University,Public,Non-profit,Australia
2,R2ACM419,Charlie Campbell,Imperial College London,University,Public,Non-profit,United Kingdom
2,R2ACM419,Hao (Mark) Chen,Imperial College London,University,Public,Non-profit,United Kingdom
2,R2ACM419,Hongxiang Fan,Imperial College London,University,Public,Non-profit,United Kingdom
2,R2ACM419,Wayne Luk,Imperial College London,University,Public,Non-profit,United Kingdom
2,R2ACM433,Masanari Kondo,Kyushu University,University,Public,Non-profit,Japan
2,R2ACM433,Yasutaka Kamei,Kyushu University,University,Public,Non-profit,Japan
2,R2ACM433,Yuta Ishimoto,Kyushu University,University,Public,Non-profit,Japan
2,R2ACM433,Naoyasu Ubayashi,Waseda University,University,Private,Non-profit,Japan
2,R2ACM452,Nek Dil Khan,Beijing University of Technology,University,Public,Non-profit,China
2,R2ACM452,Muhammad Azeem Akbar,LUT University,University,Public,Non-profit,Finland
2,R2ACM452,Mobashir Husain,University of Engineering and Technology Mardan,University,Public,Non-profit,Pakistan
2,R2ACM452,Muhammad Sohail Khan,University of Engineering and Technology Mardan,University,Public,Non-profit,Pakistan
2,R2ACM452,Javed Ali Khan,University of Hertfordshire,University,Public,Non-profit,United Kingdom
2,R2ACM452,Arif Ali Khan,University of Oulu,University,Public,Non-profit,Finland
2,R2ACM459,Shaukat Ali,Oslo Metropolitan University,University,Public,Non-profit,Norway
2,R2ACM459,Noah H. Oldfield,University of Oslo,University,Public,Non-profit,Norway
2,R2ACM512,Benjamin Weder,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM512,Daniel Vietz,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM512,Frank Leymann,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM512,Johanna Barzen,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM512,Lavinia Stiliadou,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM512,Martin Beisel,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM521,Congliang Lang,Zhejiang University,University,Public,Non-profit,China
2,R2ACM521,Debin Xiang,Zhejiang University,University,Public,Non-profit,China
2,R2ACM521,Jianwei Yin,Zhejiang University,University,Public,Non-profit,China
2,R2ACM521,Jintao Chen,Zhejiang University,University,Public,Non-profit,China
2,R2ACM521,Liqiang Lu,Zhejiang University,University,Public,Non-profit,China
2,R2ACM521,Siwei Tan,Zhejiang University,University,Public,Non-profit,China
2,R2ACM521,Tianyao Chu,Zhejiang University,University,Public,Non-profit,China
2,R2ACM521,Xing Hu,Zhejiang University,University,Public,Non-profit,China
2,R2ACM628,Damian Rovara,Technical University of Munich,University,Public,Non-profit,Germany
2,R2ACM628,Ioan Albert Florea,Technical University of Munich,University,Public,Non-profit,Germany
2,R2ACM628,Lukas Burgholzer,Technical University of Munich,University,Public,Non-profit,Germany
2,R2ACM628,Nils Quetschlich,Technical University of Munich,University,Public,Non-profit,Germany
2,R2ACM628,Patrick Hopf,Technical University of Munich,University,Public,Non-profit,Germany
2,R2ACM628,Robert Wille,Technical University of Munich,University,Public,Non-profit,Germany
2,R2ACM628,Yannick Stade,Technical University of Munich,University,Public,Non-profit,Germany
2,R2ACM65,Martin Beseda,University of L’Aquila,University,Public,Non-profit,Italy
2,R2ACM65,Antonio Trovato,University of Salerno,University,Public,Non-profit,Italy
2,R2ACM65,Dario Di Nucci,University of Salerno,University,Public,Non-profit,Italy
2,R2ACM681,Mingsheng Ying,University of Technology Sydney,University,Public,Non-profit,Australia
2,R2ACM774,Aditya Ranjan,Northeastern University,University,Private,Non-profit,United States
2,R2ACM774,Daniel Silver,Northeastern University,University,Private,Non-profit,United States
2,R2ACM774,Devesh Tiwari,Northeastern University,University,Private,Non-profit,United States
2,R2ACM774,William Cutler,Oxford University,University,Public,Non-profit,United Kingdom
2,R2ACM774,Tirthak Patel,Rice University,University,Private,Non-profit,United States
2,R2ACM792,Benjamin Weder,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM792,Daniel Vietz,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM792,Frank Leymann,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM792,Johanna Barzen,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM792,Lavinia Stiliadou,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM792,Martin Beisel,University of Stuttgart,University,Public,Non-profit,Germany
2,R2ACM825,Nobukazu Yoshioka,Waseda University,University,Private,Non-profit,Japan
2,R2ACM829,Beibei Yin,Beihang University,University,Public,Non-profit,China
2,R2ACM829,Kai-Yuan Cai,Beihang University,University,Public,Non-profit,China
2,R2ACM829,Yuechen Li,Beihang University,University,Public,Non-profit,China
2,R2ACM860,Aakash Ahmad,Lancaster University,University,Public,Non-profit,Germany
2,R2ACM860,Muhammad Waseem,Tampere University,University,Public,Non-profit,Finland
2,R2ACM860,Muhammad Taimoor Khan,University of Greenwich,University,Public,Non-profit,United Kingdom
2,R2ACM860,Majid Haghparast,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2ACM860,Tommi Mikkonen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2ACM860,Vlad Stirbu,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2ACM860,Peng Liang,Wuhan University,University,Public,Non-profit,China
2,R2ACM897,Alex Rice,University of Edinburgh,University,Public,Non-profit,United Kingdom
2,R2ACM897,Chris Heunen,University of Edinburgh,University,Public,Non-profit,United Kingdom
2,R2ACM897,Louis Lemonnier,University of Edinburgh,University,Public,Non-profit,United Kingdom
2,R2ACM912,Jianjun Zhao,Kyushu University,University,Public,Non-profit,Japan
2,R2ACM912,Shangzhou Xia,Kyushu University,University,Public,Non-profit,Japan
2,R2ACM912,Xiaoyu Guo,Kyushu University,University,Public,Non-profit,Japan
2,R2ACM912,Fuyuan Zhang,The University of Tokyo,University,Public,Non-profit,Japan
2,R2ACM928,Kai Zhou,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2ACM928,Pietro Zanotta,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2ACM928,Ramin Ayanzadeh,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2ACM928,Yicheng Guang,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2ACM928,Yueqi Chen,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2IEEE1004,Benjamin Weder,University of Stuttgart,University,Public,Non-profit,Germany
2,R2IEEE1004,Daniel Georg,University of Stuttgart,University,Public,Non-profit,Germany
2,R2IEEE1004,Fabian Bühler,University of Stuttgart,University,Public,Non-profit,Germany
2,R2IEEE1004,Frank Leymann,University of Stuttgart,University,Public,Non-profit,Germany
2,R2IEEE1004,Johanna Barzen,University of Stuttgart,University,Public,Non-profit,Germany
2,R2IEEE1004,Lavinia Stiliadou,University of Stuttgart,University,Public,Non-profit,Germany
2,R2IEEE1004,Martin Beisel,University of Stuttgart,University,Public,Non-profit,Germany
2,R2IEEE1005,Daniel Sierra,The Catholic University of America,University,Private,Non-profit,United States
2,R2IEEE1005,Cristian Marquez,University of the Andes,University,Private,Non-profit,Colombia
2,R2IEEE1005,Kelly Garcés,University of the Andes,University,Private,Non-profit,Colombia
2,R2IEEE1034,Lukas Schmidbauer,Technical University of Applied Sciences Regensburg,University,Public,Non-profit,Germany
2,R2IEEE1034,Wolfgang Mauerer,Technical University of Applied Sciences Regensburg,University,Public,Non-profit,Germany
2,R2IEEE1052,Schahram Dustdar,TU Wien,University,Public,Non-profit,Austria
2,R2IEEE1052,Ricardo Pérez-Castillo,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2IEEE1052,Michael Felderer,University of Cologne,University,Public,Non-profit,Germany
2,R2IEEE1052,Juan Manuel Murillo,University of Extremadura,University,Public,Non-profit,Spain
2,R2IEEE1052,Antonio Brogi,University of Pisa,University,Public,Non-profit,Italy
2,R2IEEE1052,Antonio Ruiz-Cortés,University of Seville,University,Public,Non-profit,Spain
2,R2IEEE1052,Hausi Muller,University of Victoria,University,Public,Non-profit,Canada
2,R2IEEE1052,Ulrike Stege,University of Victoria,University,Public,Non-profit,Canada
2,R2IEEE1111,Prakash Murali,University of Cambridge,University,Public,Non-profit,United Kingdom
2,R2IEEE1111,Sanaa Sharma,University of Cambridge,University,Public,Non-profit,United Kingdom
2,R2IEEE1156,Olivia Di Matteo,The University of British Columbia,University,Public,Non-profit,Canada
2,R2IEEE1168,Haibo Yu,Kyushu Sangyo University,University,Private,Non-profit,Japan
2,R2IEEE1168,Jianjun Zhao,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE1182,Mahee Gamage,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE1182,Otso Kinanen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE1182,Vlad Stirbu,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE1221,Samah Mohamed Saeed,"City College of New York, City University of New York",University,Public,Non-profit,United States
2,R2IEEE1221,Donald Lushi,City University of New York,University,Public,Non-profit,United States
2,R2IEEE1221,Samah Mohamed Saeed,City University of New York,University,Public,Non-profit,United States
2,R2IEEE1249,Jianjun Zhao,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE128,Jake Zappin,College of William & Mary,University,Public,Non-profit,United States
2,R2IEEE13,Enrique Moguel,University of Extremadura,University,Public,Non-profit,Spain
2,R2IEEE13,Jaime Alvarado-Valiente,University of Extremadura,University,Public,Non-profit,Spain
2,R2IEEE13,Javier Romero-Álvarez,University of Extremadura,University,Public,Non-profit,Spain
2,R2IEEE13,Jose Garcia-Alonso,University of Extremadura,University,Public,Non-profit,Spain
2,R2IEEE13,Juan M. Murillo,University of Extremadura,University,Public,Non-profit,Spain
2,R2IEEE188,Krishna Upadhyay,Louisiana State University,University,Public,Non-profit,United States
2,R2IEEE188,Umar Farooq,Louisiana State University,University,Public,Non-profit,United States
2,R2IEEE188,Vinaik Chhetri,Louisiana State University,University,Public,Non-profit,United States
2,R2IEEE188,A.B. Siddique,University of Kentucky,University,Public,Non-profit,United States
2,R2IEEE207,Jianwei Yin,Zhejiang University,University,Public,Non-profit,China
2,R2IEEE207,Tingting Li,Zhejiang University,University,Public,Non-profit,China
2,R2IEEE207,Ziming Zhao,Zhejiang University,University,Public,Non-profit,China
2,R2IEEE208,Alejandro Fernandez,National University of La Plata,University,Public,Non-profit,Argentina
2,R2IEEE208,Joaquin Bogado,National University of La Plata,University,Public,Non-profit,Argentina
2,R2IEEE208,José Manuel Suárez,National University of La Plata,University,Public,Non-profit,Argentina
2,R2IEEE208,Luis Mariano Bibbó,National University of La Plata,University,Public,Non-profit,Argentina
2,R2IEEE231,Denys Poshyvanyk,College of William & Mary,University,Public,Non-profit,United States
2,R2IEEE231,Jake Zappin,College of William & Mary,University,Public,Non-profit,United States
2,R2IEEE231,Oscar Chaparro,College of William & Mary,University,Public,Non-profit,United States
2,R2IEEE231,Trevor Stalnaker,College of William & Mary,University,Public,Non-profit,United States
2,R2IEEE25,Beibei Yin,Beihang University,University,Public,Non-profit,China
2,R2IEEE25,Kai-Yuan Cai,Beihang University,University,Public,Non-profit,China
2,R2IEEE25,Yuechen Li,Beihang University,University,Public,Non-profit,China
2,R2IEEE32,Damian Rovara,Technical University of Munich,University,Public,Non-profit,Germany
2,R2IEEE32,Lukas Burgholzer,Technical University of Munich,University,Public,Non-profit,Germany
2,R2IEEE32,Robert Wille,Technical University of Munich,University,Public,Non-profit,Germany
2,R2IEEE331,Daniel Jara,Universidad del Bío-Bío,University,Public,Non-profit,Chile
2,R2IEEE331,Diego Williams,Universidad del Bío-Bío,University,Public,Non-profit,Chile
2,R2IEEE331,Gastón Márquez,Universidad del Bío-Bío,University,Public,Non-profit,Chile
2,R2IEEE337,Julian Fuchs,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE337,Jussi P P Jokinen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE337,Majid Haghparast,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE337,Ronja Heikkinen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE337,Samuel Ovaskainen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE337,Tommi Mikkonen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE337,Julian Fuchs,University of Potsdam,University,Public,Non-profit,Germany
2,R2IEEE365,Ahmik Virani,Indian Institute of Technology Hyderabad,University,Public,Non-profit,India
2,R2IEEE365,Devraj,Indian Institute of Technology Hyderabad,University,Public,Non-profit,India
2,R2IEEE365,M V Panduranga Rao,Indian Institute of Technology Hyderabad,University,Public,Non-profit,India
2,R2IEEE365,Lei Zhang,University of Maryland Baltimore County,University,Public,Non-profit,United States
2,R2IEEE365,Anirudh Suresh,University of Maryland College Park,University,Public,Non-profit,United States
2,R2IEEE486,Hassan Soubra,Ecole Centrale d’Electronique (ECE),University,Private,Non-profit,France
2,R2IEEE486,Alain Abran,School of Higher Technology,University,Public,Non-profit,Canada
2,R2IEEE486,Pierre Bourque,School of Higher Technology,University,Public,Non-profit,Canada
2,R2IEEE486,Tuna Hacaloglu,School of Higher Technology,University,Public,Non-profit,Canada
2,R2IEEE539,Chandan Kumar,Amrita Vishwa Vidyapeetham,University,Private,Non-profit,India
2,R2IEEE539,Pathan Shaheen Khan,Amrita Vishwa Vidyapeetham,University,Private,Non-profit,India
2,R2IEEE622,Hassan Soubra,Ecole Centrale d’Electronique (ECE),University,Private,Non-profit,France
2,R2IEEE622,Youssef Adel,German University in Cairo (GUC),University,Private,Non-profit,Egypt
2,R2IEEE622,Alain Abran,School of Higher Technology,University,Public,Non-profit,Canada
2,R2IEEE622,Pierre Bourque,School of Higher Technology,University,Public,Non-profit,Canada
2,R2IEEE622,Tuna Hacaloglu,School of Higher Technology,University,Public,Non-profit,Canada
2,R2IEEE64,Kosuke Miyaji,Osaka University,University,Public,Non-profit,Japan
2,R2IEEE64,Naoyuki Masumoto,Osaka University,University,Public,Non-profit,Japan
2,R2IEEE64,Satoyuki Tsukano,Osaka University,University,Public,Non-profit,Japan
2,R2IEEE64,Takafumi Miyanaga,Osaka University,University,Public,Non-profit,Japan
2,R2IEEE64,Toshio Mori,Osaka University,University,Public,Non-profit,Japan
2,R2IEEE689,Armin Moin,University of Colorado Colorado Springs (UCCS),University,Public,Non-profit,United States
2,R2IEEE689,Nazanin Siavash,University of Colorado Colorado Springs (UCCS),University,Public,Non-profit,United States
2,R2IEEE695,Jianjun Zhao,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE695,Xiaoyu Guo,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE718,Lizhi Cai,East China University of Science and Technology,University,Public,Non-profit,China
2,R2IEEE718,Xuan Mao,East China University of Science and Technology,University,Public,Non-profit,China
2,R2IEEE728,Armin Moin,University of Colorado Colorado Springs (UCCS),University,Public,Non-profit,United States
2,R2IEEE728,Nazanin Siavash,University of Colorado Colorado Springs (UCCS),University,Public,Non-profit,United States
2,R2IEEE759,Jianjun Zhao,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE759,Shangzhou Xia,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE759,Tiancheng Jin,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE773,Kai Zhou,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2IEEE773,Pietro Zanotta,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2IEEE773,Ramin Ayanzadeh,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2IEEE773,Yicheng Guang,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2IEEE773,Yueqi Chen,University of Colorado Boulder,University,Public,Non-profit,United States
2,R2IEEE887,Jianjun Zhao,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE887,Minggu Wang,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE887,Xiaoyu Guo,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE942,Domenico Bianculli,University of Luxembourg,University,Public,Non-profit,Luxembourg
2,R2IEEE942,Fabrizio Pastore,University of Luxembourg,University,Public,Non-profit,Luxembourg
2,R2IEEE942,Seung Yeob Shin,University of Luxembourg,University,Public,Non-profit,Luxembourg
2,R2IEEE962,Jose Garcia-Alonso,"SPILab, University of Extremadura",University,Public,Non-profit,Spain
2,R2IEEE962,Juan M. Murillo,"SPILab, University of Extremadura",University,Public,Non-profit,Spain
2,R2IEEE962,Enrique Moguel,University of Extremadura,University,Public,Non-profit,Spain
2,R2IEEE962,Antonio Ruiz-Cortés,University of Seville,University,Public,Non-profit,Spain
2,R2IEEE962,José Antonio Parejo,University of Seville,University,Public,Non-profit,Spain
2,R2IEEE964,Majid Haghparast,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE964,Samuel Ovaskainen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE964,Tommi Mikkonen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2IEEE966,Mina Alipour,University of Southern Denmark,University,Public,Non-profit,Denmark
2,R2IEEE969,Higor A. de Souza,São Paulo State University,University,Public,Non-profit,Brazil
2,R2IEEE969,Erico A. da Silva,University of São Paulo,University,Public,Non-profit,Brazil
2,R2IEEE969,Marcos Lordello Chaim,University of São Paulo,University,Public,Non-profit,Brazil
2,R2IEEE969,Neilson C. L. Ramalho,University of São Paulo,University,Public,Non-profit,Brazil
2,R2IEEE971,Mohammad Hassan,University of Prince Edward Island,University,Public,Non-profit,Canada
2,R2IEEE971,Ashis Kumar Mandal,University of Saskatchewan,University,Public,Non-profit,Canada
2,R2IEEE971,Chanchal K. Roy,University of Saskatchewan,University,Public,Non-profit,Canada
2,R2IEEE971,Md Nadim,University of Saskatchewan,University,Public,Non-profit,Canada
2,R2IEEE984,Huixiang Zhang,Lakehead University,University,Public,Non-profit,Canada
2,R2IEEE984,Mahzabeen Emu,Memorial University of Newfoundland,University,Public,Non-profit,Canada
2,R2IEEE984,Mahzabeen Emu,Memorial University of Newfoundland,University,Public,Non-profit,Canada
2,R2IEEE984,Mahzabeen Emu,Memorial University of Newfoundland,University,Public,Non-profit,Canada
2,R2IEEE996,Jianjun Zhao,Kyushu University,University,Public,Non-profit,Japan
2,R2IEEE996,Xiaoyu Guo,Kyushu University,University,Public,Non-profit,Japan
2,R2SCP1001,Ignacio García-Rodríguez,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP1001,Macario Polo,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP1001,Enrique Moguel,University of Extremadura,University,Public,Non-profit,Spain
2,R2SCP1001,Jaime Alvarado-Valiente,University of Extremadura,University,Public,Non-profit,Spain
2,R2SCP1001,Javier Romero-Alvarez,University of Extremadura,University,Public,Non-profit,Spain
2,R2SCP1001,Jose Garcia-Alonso,University of Extremadura,University,Public,Non-profit,Spain
2,R2SCP1001,Juan M. Murillo,University of Extremadura,University,Public,Non-profit,Spain
2,R2SCP1050,Muhammad Waseem,Tampere University,University,Public,Non-profit,Finland
2,R2SCP1050,Gastón Márquez,Universidad del Bío-Bío,University,Public,Non-profit,Chile
2,R2SCP1050,Tommi Mikkonen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP1096,F. El Ayachi,Mohammed V University in Rabat,University,Public,Non-profit,Morocco
2,R2SCP1096,M. El Baz,Mohammed V University in Rabat,University,Public,Non-profit,Morocco
2,R2SCP1124,Ali F. Al-Ramadan,Kent State University,University,Public,Non-profit,United States
2,R2SCP1124,Jonathan I. Maletic,Kent State University,University,Public,Non-profit,United States
2,R2SCP1124,Joshua A. C. Behler,Kent State University,University,Public,Non-profit,United States
2,R2SCP1124,Qiang Guan,Kent State University,University,Public,Non-profit,United States
2,R2SCP1124,Betis Baheri,State University of New York at Canton,University,Public,Non-profit,United States
2,R2SCP1124,Michael L. Collard,The University of Akron,University,Public,Non-profit,United States
2,R2SCP1126,Ella Rubinshtein,Princeton University,University,Private,Non-profit,United States
2,R2SCP1126,Jocelyn Li,Princeton University,University,Private,Non-profit,United States
2,R2SCP1126,Margaret Martonosi,Princeton University,University,Private,Non-profit,United States
2,R2SCP1145,Mohammad Nadeem,Aligarh Muslim University,University,Public,Non-profit,India
2,R2SCP1145,Mahmood Niazi,King Fahd University of Petroleum and Minerals,University,Public,Non-profit,Saudi Arabia
2,R2SCP1145,Mahmood Niazi,King Fahd University of Petroleum and Minerals,University,Public,Non-profit,Saudi Arabia
2,R2SCP1145,Mohammad Shameem,King Fahd University of Petroleum and Minerals,University,Public,Non-profit,Saudi Arabia
2,R2SCP1145,Sajjad Mahmood,King Fahd University of Petroleum and Minerals,University,Public,Non-profit,Saudi Arabia
2,R2SCP1145,Sajjad Mahmood,King Fahd University of Petroleum and Minerals,University,Public,Non-profit,Saudi Arabia
2,R2SCP1145,Ankur Kumar,Mangalayatan University,University,Private,Non-profit,India
2,R2SCP1197,Lizhi Cai,East China University of Science and Technology,University,Public,Non-profit,China
2,R2SCP1197,Wuxu Wang,East China University of Science and Technology,University,Public,Non-profit,China
2,R2SCP1197,Xuan Mao,East China University of Science and Technology,University,Public,Non-profit,China
2,R2SCP1230,Maria Teresa Baldassarre,University of Bari Aldo Moro,University,Public,Non-profit,Italy
2,R2SCP1230,Ana Díaz-Muñoz,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP1230,José A. Cruz-Lemus,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP1230,Mario Piattini,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP1230,Moisés Rodríguez,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP170,Nils Quetschlich,Technical University of Munich,University,Public,Non-profit,Germany
2,R2SCP170,Olivia Di Matteo,The University of British Columbia,University,Public,Non-profit,Canada
2,R2SCP240,Boshuai Ye,Aalto University,University,Public,Non-profit,Finland
2,R2SCP240,Boshuai Ye,University of Oulu,University,Public,Non-profit,Finland
2,R2SCP28,Beibei Yin,Beihang University,University,Public,Non-profit,China
2,R2SCP28,Kai-Yuan Cai,Beihang University,University,Public,Non-profit,China
2,R2SCP28,Linzhi Huang,Beihang University,University,Public,Non-profit,China
2,R2SCP28,Yuechen Li,Beihang University,University,Public,Non-profit,China
2,R2SCP28,Hanyu Pei,University of Science and Technology Beijing,University,Public,Non-profit,China
2,R2SCP376,Mario Piattini,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP376,Ricardo Pérez-Castillo,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP376,Samuel Sepúlveda,University of La Frontera,University,Public,Non-profit,Chile
2,R2SCP420,Mahee Gamage,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP420,Otso Kinanen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP420,Vlad Stirbu,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP426,Shaukat Ali,Oslo Metropolitan University,University,Public,Non-profit,Norway
2,R2SCP450,José A. Cruz-Lemus,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP450,Mario Piattini,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP450,Michal Baczyk,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP450,Miriam Fernández-Osuna,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP450,Ricardo Pérez-Castillo,University of Castilla-La Mancha,University,Public,Non-profit,Spain
2,R2SCP53,Dae-Kyoo Kim,Oakland University,University,Public,Non-profit,United States
2,R2SCP541,Jong-Chan Kim,Sunchon National University,University,Public,Non-profit,Republic of Korea
2,R2SCP541,Su-Chang Lim,Sunchon National University,University,Public,Non-profit,Republic of Korea
2,R2SCP84,Mahmoud Ahmed,Arab Open University,University,Private,Non-profit,Bahrain
2,R2SCP84,Nguyen Phi,Dong Nai Technology University,University,Private,Non-profit,Vietnam
2,R2SCP84,Islam Zada,International Islamic University Islamabad,University,Public,Non-profit,Pakistan
2,R2SCP84,Siwar Rekik,Prince Sultan University,University,Private,Non-profit,Saudi Arabia
2,R2SCP84,Hessa Alfraihi,Princess Nourah Bint Abdulrahman University,University,Public,Non-profit,Saudi Arabia
2,R2SCP84,Abdullah Alshahrani,University of Jeddah,University,Public,Non-profit,Saudi Arabia
2,R2SCP84,Sara Shahzad,University of Peshawar,University,Public,Non-profit,Pakistan
2,R2SCP841,Marcus Edwards,The University of British Columbia,University,Public,Non-profit,Canada
2,R2SCP841,Olivia Di Matteo,The University of British Columbia,University,Public,Non-profit,Canada
2,R2SCP841,Santiago Núñez-Corrales,University of Illinois Urbana-Champaign,University,Public,Non-profit,United States
2,R2SCP841,Vlad Stirbu,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP841,Edoardo Giusto,University of Naples Federico II,University,Public,Non-profit,Italy
2,R2SCP843,Elena R. Henderson,Southern Methodist University,University,Private,Non-profit,United States
2,R2SCP843,Jessie M. Henderson,Southern Methodist University,University,Private,Non-profit,United States
2,R2SCP843,Joshua Ange,Southern Methodist University,University,Private,Non-profit,United States
2,R2SCP843,Mitchell A. Thornton,Southern Methodist University,University,Private,Non-profit,United States
2,R2SCP865,Anurudh Peduri,Ruhr University Bochum,University,Public,Non-profit,Germany
2,R2SCP865,Michael Walter,Ruhr University Bochum,University,Public,Non-profit,Germany
2,R2SCP880,Aamna Aamir,Toronto Metropolitan University,University,Public,Non-profit,Canada
2,R2SCP880,Andriy Miranskyy,Toronto Metropolitan University,University,Public,Non-profit,Canada
2,R2SCP880,Chen Ding,Toronto Metropolitan University,University,Public,Non-profit,Canada
2,R2SCP880,Kiana Kheiri,Toronto Metropolitan University,University,Public,Non-profit,Canada
2,R2SCP889,Stefano Lambiase,Aalborg University Copenhagen,University,Public,Non-profit,Denmark
2,R2SCP889,Andrea De Lucia,University of Salerno,University,Public,Non-profit,Italy
2,R2SCP999,Julian Fuchs,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP999,Jussi P.P. Jokinen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP999,Majid Haghparast,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP999,Ronja Heikkinen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP999,Samuel Ovaskainen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP999,Tommi Mikkonen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2SCP999,Julian Fuchs,University of Potsdam,University,Public,Non-profit,Germany
2,R2WOS1121,Ga San Jhun,Chung-Ang University,University,Private,Non-profit,Republic of Korea
2,R2WOS1121,Hyun Jun Yook,Chung-Ang University,University,Private,Non-profit,Republic of Korea
2,R2WOS1121,Jae Hyun Cho,Chung-Ang University,University,Private,Non-profit,Republic of Korea
2,R2WOS1121,Youn Kyu Lee,Chung-Ang University,University,Private,Non-profit,Republic of Korea
2,R2WOS1121,Joongheon Kim,Korea University,University,Private,Non-profit,Republic of Korea
2,R2WOS1121,Soohyun Park,Sookmyung Women’s University,University,Private,Non-profit,Republic of Korea
2,R2WOS1184,Juan M. Murillo,University of Extremadura,University,Public,Non-profit,Spain
2,R2WOS1184,Andrés D. Muñoz-Moller,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2WOS1184,Otso Kinanen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2WOS1184,Tommi Mikkonen,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2WOS1184,Vlad Stirbu,University of Jyväskylä,University,Public,Non-profit,Finland
2,R2WOS1204,Luis Jiménez-Navajas,University of Castilla-La Mancha,University,Public,Non-profit,Spain
